variable,type,nobs,mean,sd,mode,min,max,q25,median,q75,n_missing,n_unique
med10obs,Numeric,46,7.179047513263718,3.2444273736852263,6.12745098039216,2,14.545454545454545,4.6328616352201255,6.255214851898206,9.243998829039812,0,NA
med1obs,Numeric,46,21.09166809666065,8.087736537210837,17.156862745098,8,40.74074074074074,14.83695652173913,18.722646310432573,28.54479949874687,0,NA
med20obs,Numeric,46,4.329557148346792,2.2167706518519963,3.67647058823529,0.6666666666666667,9.25925925925926,2.657817109144543,3.8652623211446744,6.227970143064483,0,NA
med2obs,Numeric,46,15.878282483450834,6.0569142617637715,12.5,8,35.18518518518518,11.150234741784036,14.24627958979104,19.002187795648062,0,NA
med30obs,Numeric,46,2.8679218314827857,1.8883383797009112,2.94117647058824,0,8,1.5096153846153846,2.516891891891892,3.9947390138229837,0,NA
med3obs,Numeric,46,13.844902217015528,6.0308514744233115,10.7843137254902,6.666666666666667,28.000000000000004,9.188459137229628,11.26294188974909,17.91901136489021,0,NA
med40obs,Numeric,46,1.2376866484013485,1.2569175917553046,2.45098039215686,0,4.3343653250774,0,0.8772604848018468,2.127659574468085,0,NA
med5obs,Numeric,46,11.086141704294834,5.338295063445524,9.31372549019608,4,28.000000000000004,6.968289708227789,9.91194236227349,13.675073099415206,0,NA
