variable,type,nobs,mean,sd,mode,min,max,q25,median,q75,n_missing,n_unique
med10obs,Numeric,141,8.285814672195905,3.39162872369658,9.36556000766694,0,23.809523809523807,5.793103448275861,8.108108108108109,10,0,NA
med1obs,Numeric,141,24.746063493448315,8.481537945136715,32.9305119887551,11.11111111111111,50,18.181818181818183,22.89156626506024,31.506849315068493,0,NA
med20obs,Numeric,141,4.825337745720335,3.070005565671262,5.74017999105523,0,15.476190476190476,2.941176470588235,4.545454545454546,6.666666666666667,0,NA
med2obs,Numeric,141,20.031985657253415,8.260729963480205,26.8882159892663,7.6923076923076925,77.97619047619048,14.754098360655746,18.181818181818183,23.595505617977526,0,NA
med30obs,Numeric,141,2.590967677510888,2.443387291002747,3.32326400817808,0,11.11111111111111,0,2.564102564102564,4.04624277456647,0,NA
med3obs,Numeric,141,16.557987051704266,5.96690461077242,20.2416879729101,0,33.33333333333333,12.5,16.27906976744186,20,0,NA
med40obs,Numeric,141,1.1747961708467027,1.8818827634040216,3.32326400817808,0,11.11111111111111,0,0,2.307692307692308,0,NA
med5obs,Numeric,141,13.185393540601734,5.5617979887110724,15.4078560071558,0,32.142857142857146,9.090909090909092,12.5,16.666666666666664,0,NA
