variable,type,nobs,mean,sd,mode,min,max,q25,median,q75,n_missing,n_unique
med10obs,Numeric,30,27.04954590526721,16.868452722104628,22.5,0,83.54430379746836,16.718029316989952,25,33.33333333333333,0,NA
med1obs,Numeric,30,64.84348736120974,24.066081178037653,50,19.597989949748744,137.9746835443038,49.55432937181664,65.15151515151514,76.94066147859922,0,NA
med20obs,Numeric,30,16.03120063444615,12.574129245634772,17.5,0,51.89873417721519,8.62457555178268,12.541390728476822,22.17150553726429,0,NA
med2obs,Numeric,30,67.12620825020619,43.42793658610003,95,16.959798994974875,202.53164556962025,33.3762098828324,62.083333333333336,90.58047804073944,0,NA
med30obs,Numeric,30,10.006095335640959,9.919062753566896,0,0,37.9746835443038,3.143659473839787,7.537364573815429,12.5,0,NA
med3obs,Numeric,30,45.787721830606024,23.64177980384261,40,10,100,29.002153333604195,40.42801556420233,60.53600654664484,0,NA
med40obs,Numeric,30,4.475480326709934,7.062986434706049,0,0,30.201342281879196,0,0.43945648434812523,6.752605726759839,0,NA
med5obs,Numeric,30,37.496379537760376,24.405990976562578,35,0,100,23.458588957055216,32.401636151149205,46.64484451718494,0,NA
