variable,type,nobs,mean,sd,mode,min,max,q25,median,q75,n_missing,n_unique
med10obs,Numeric,13,15.556716927626615,11.6823945037206,30.4347826086957,0,30.434782608695656,0,19.230769230769234,25,0,NA
med1obs,Numeric,13,47.69085591826549,23.15873416481079,73.9130434782609,0,73.91304347826086,46.15384615384615,51.724137931034484,60,0,NA
med20obs,Numeric,13,9.969742714568936,8.944026884608899,26.0869565217391,0,26.08695652173913,0,10.344827586206897,15.384615384615385,0,NA
med2obs,Numeric,13,38.51215096105581,16.58825494514533,52.1739130434783,0,59.375,25,44.871794871794876,52,0,NA
med30obs,Numeric,13,7.330690333820095,6.090718243680443,17.3913043478261,0,17.391304347826086,0,7.6923076923076925,10.76923076923077,0,NA
med3obs,Numeric,13,26.59958166071405,20.237085265259704,56.5217391304348,0,56.52173913043478,0,31.57894736842105,38.46153846153847,0,NA
med40obs,Numeric,13,4.6125905684795265,3.896495347331242,13.0434782608696,0,13.043478260869565,0,5.263157894736842,6.8181818181818175,0,NA
med5obs,Numeric,13,22.13168238578256,17.86564149969561,47.8260869565217,0,52,0,23.076923076923077,32.30769230769231,0,NA
