variable,type,nobs,mean,sd,mode,min,max,q25,median,q75,n_missing,n_unique
med10obs,Numeric,3,6.641260162601626,1.258368526861349,8.04878048780488,5.625,8.048780487804878,5.9375,6.25,7.149390243902439,0,NA
med1obs,Numeric,3,18.94308943089431,7.272816701945074,26.8292682926829,12.5,26.82926829268293,15,17.5,22.164634146341463,0,NA
med20obs,Numeric,3,3.3739837398373984,1.5137842423874335,5.1219512195122,2.5,5.121951219512195,2.5,2.5,3.8109756097560976,0,NA
med2obs,Numeric,3,12.982723577235772,3.871721153782032,17.0731707317073,9.375,17.073170731707318,10.9375,12.5,14.786585365853659,0,NA
med30obs,Numeric,3,1.4735772357723578,1.5971458841361885,3.17073170731707,0,3.1707317073170733,0.625,1.25,2.2103658536585367,0,NA
med3obs,Numeric,3,14.02439024390244,2.6403213530013376,17.0731707317073,12.5,17.073170731707318,12.5,12.5,14.786585365853659,0,NA
med40obs,Numeric,3,0.24390243902439027,0.422451416480214,0.731707317073171,0,0.7317073170731708,0,0,0.3658536585365854,0,NA
med5obs,Numeric,3,9.898373983739837,1.989042085927674,12.1951219512195,8.75,12.195121951219512,8.75,8.75,10.472560975609756,0,NA
