variable,type,nobs,mean,sd,mode,min,max,q25,median,q75,n_missing,n_unique
med10obs,Numeric,850,7.023859942773883,4.191666748354168,5.27638190954773,0,28.185328185328203,4.026645712719212,5.955371656568646,8.955223880597018,0,NA
med1obs,Numeric,850,20.32897105423241,10.159266024764042,15.8291457286432,3.333333333333336,57.30337078651688,12.68164661836435,17.803419080950825,26.055019596819953,0,NA
med20obs,Numeric,850,4.262916216988353,3.039794889514737,3.39195979899498,0,20.849420849420852,2.173913043478257,3.4883720930232505,5.4991134751773085,0,NA
med2obs,Numeric,850,15.278029413117205,7.991867730439261,12.9396984924623,3.6585365853658622,49.999999999999986,9.303584012886347,13.21154743649576,19.123106985832926,0,NA
med30obs,Numeric,850,2.6701776800690165,2.33022989779132,1.3819095477387,0,15.656565656565661,1.1478405315614615,2.1819778060053627,3.7141545847572526,0,NA
med3obs,Numeric,850,13.605661923935978,7.703922881970466,8.04020100502512,1.6666666666666607,57.14285714285714,7.828282828282819,11.489918090559987,17.29917164322867,0,NA
med40obs,Numeric,850,1.277843986303457,1.7754417120144423,0.502512562814071,0,11.011235955056186,0,0.6991350078662006,2.0046296296296355,0,NA
med5obs,Numeric,850,10.66240220340312,6.4115775542322195,7.28643216080401,0,41.31274131274131,6.060606060606066,9.090909090909083,13.58427947598253,0,NA
